,Furnishing_status,OperatingTime,SecurityDeposit,Premium,Area,BHK,Owner,ResidencyType
127,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
128,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
129,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
130,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
131,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
132,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
133,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
134,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
135,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
136,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
137,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
138,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
139,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
140,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
141,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
142,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
143,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
144,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
145,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
146,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
147,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
148,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
149,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
150,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
151,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
152,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
153,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
154,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
155,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
156,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
157,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
158,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
159,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
160,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
161,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
162,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
163,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
164,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
165,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
166,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
167,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
168,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
169,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
170,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
171,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
172,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
173,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
174,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
175,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
176,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
177,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
178,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
179,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
180,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
181,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
182,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
183,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
184,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
185,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
186,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
187,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
188,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
189,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
190,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
191,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
192,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
193,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
194,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
195,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
196,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
197,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
198,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
199,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
200,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
201,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
202,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
203,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
204,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
205,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
206,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
207,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
208,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
209,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
210,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
211,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
212,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
213,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
214,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
215,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
216,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
217,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
218,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
219,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
220,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
221,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
222,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
223,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
224,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
225,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
226,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
227,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
228,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
229,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
230,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
231,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
232,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
233,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
234,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
235,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
236,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
237,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
238,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
239,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
240,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
241,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
242,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
243,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
244,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
245,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
246,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
247,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
248,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
249,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
250,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
251,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
252,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
253,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
254,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
255,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
256,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
257,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
258,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
259,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
260,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
261,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
262,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
263,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
264,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
265,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
266,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
267,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
268,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
269,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
270,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
271,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
272,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
273,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
274,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
275,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
276,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
277,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
278,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
279,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
280,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
281,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
282,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
283,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
284,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
285,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
286,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
287,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
288,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
289,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
290,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
291,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
292,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
293,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
294,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
295,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
296,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
297,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
298,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
299,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
300,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
301,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
302,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
303,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
304,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
305,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
306,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
307,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
308,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
309,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
310,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
311,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
312,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
313,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
314,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
